,item_id,NP,Oblig,Error,ErType,ErType2,definiteness,ref,Hawkins,HeadN,Abstract,Rev_abstr,modif,Score,Target_the,Target_zero,NL_Korean,NL_Mandarin,NL_Russian,Ntype_plural,Ntype_sing,Synt_obj,Synt_predprop,Synt_sub
20,21,On the way I had a headache .,obl,correct,correct_a,correct_art,indef,spec,indef,headache,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
28,29,I had to write about counseling .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,counseling,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
29,30,This is my first time to write diary on the internet .,obl,error,omit_a,omit,indef,nonspec,indef,diary,abstr,abstr,no_mod,0,False,False,False,False,False,False,True,True,False,False
33,34,And I 'm eating a banana every day for my health .,obl,correct,correct_a,correct_art,indef,nonspec,indef,banana,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
35,36,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog on the news paper .,obl,correct,correct_a,correct_art,indef,nonspec,indef,newspaper,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
37,38,"She is little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !",obl_om,correct,correct_zero,correct_om,indef,spec,indef,insights,abstr,abstr,mod,1,False,True,False,False,False,False,False,True,False,False
38,39,"She is little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,food,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
62,63,I am listening to music with the commuter train .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,music,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
63,64,I am listening to music with the commuter train .,obl,correct,correct_the,correct_art,def,spec,situational,train,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
64,65,"Today , I listen the music , it looks like in the cafe .",obl,correct,correct_the,correct_art,def,spec,situational,music,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
65,66,I like warm season .,obl,error,omit_the,omit,indef,nonspec,indef,season,concr,concr,mod,0,True,False,False,False,False,False,True,True,False,False
71,72,I loved the massage shop where I went because the staff of the shop explains what is wrong in my body .,obl,correct,correct_the,correct_art,def,spec,situational,shop,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
72,73,I loved the massage shop where I went because the staff of the shop explains what is wrong in my body .,obl,correct,correct_the,correct_art,def,spec,explanatory,staff,concr,concr,no_mod,1,True,False,False,False,False,False,False,False,False,True
73,74,"After that , I went to a fittness club which has bedrock bathing .",obl,correct,correct_a,correct_art,indef,spec,indef,club,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
80,81,I had never knew my English was poor until the teacher told me that my English was sound illogically . . . .,obl,correct,correct_the,correct_art,def,spec,situational,teacher,concr,concr,no_mod,1,True,False,False,True,False,False,True,False,False,True
86,87,Mayer is busy with election campaign and his own work .,obl,error,omit_the,omit,indef,spec,indef,campaign,concr,concr,no_mod,0,True,False,False,False,False,False,False,True,False,False
88,89,I made good friend with Vietnamese .,obl,error,omit_a,omit,indef,spec,indef,friend,concr,concr,mod,0,False,False,False,False,False,False,True,True,False,False
89,90,And we had a dinner with my another friends .,obl_om,error,over_a,over,indef,spec,indef,dinner,concr,concr,no_mod,0,False,True,False,False,False,False,True,True,False,False
93,94,The Berklee do n't requires a TOEFL score .,obl,correct,correct_a,correct_art,indef,nonspec,indef,score,concr,concr,no_mod,1,False,False,True,False,False,False,True,True,False,False
94,95,"Several days ago , I got an irregular heartbeat for the first time in my life !",obl_om,correct,correct_zero,correct_om,indef,spec,indef,heartbeat,concr,concr,mod,1,False,True,False,False,False,False,True,True,False,False
97,98,The doctor told me that I did have a irregular pulse ossacionally but it was not a fatal one .,obl_om,error,over_a,over,indef,spec,indef,pulse,concr,concr,mod,0,False,True,False,False,False,False,True,True,False,False
98,99,"He added that it could get worse due to stress and fatigue , and he just advised me to take an enough rest .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,stress,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
101,102,I think that may be a common question for those students want to pursue a higher education .,obl_om,error,over_a,over,indef,nonspec,indef,education,abstr,abstr,mod,0,False,True,False,True,False,False,False,True,False,False
104,105,"Many of them you can download pdf copy , or If you ca n't download paper from the links scholar . google . com offer you , go directly to the author 's website , many authors enjoy their paper to be seemed and cited by potential readers .",obl,error,omit_a,omit,indef,nonspec,indef,copy,concr,concr,no_mod,0,False,False,False,True,False,False,True,True,False,False
105,106,"Many of them you can download pdf copy , or If you ca n't download paper from the links scholar . google . com offer you , go directly to the author 's website , many authors enjoy their paper to be seemed and cited by potential readers .",obl,error,omit_a,omit,indef,nonspec,indef,paper,concr,concr,no_mod,0,False,False,False,True,False,False,True,True,False,False
108,109,A good review is the best start point .,obl,correct,correct_a,correct_art,indef,nonspec,indef,review,abstr,abstr,mod,1,False,False,False,True,False,False,True,False,False,True
109,110,"And then you can trace the author , or the paper cited to do a more in depth research in your interested area .",obl,correct,correct_the,correct_art,def,nonspec,situational,author,concr,concr,no_mod,1,True,False,False,True,False,False,True,True,False,False
111,112,The balance of width and depth of your reading is essential .,obl,correct,correct_the,correct_art,def,spec,explanatory,balance,abstr,abstr,no_mod,1,True,False,False,True,False,False,False,False,False,True
115,116,"The thing that I want to make in January 2009 is to invest more effort in studying English and keep on writing sentences in English every day here , Lang - 8 !",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,sentences,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
133,134,"I took a medicine , so I feel better for now .",obl_om,error,over_a,over,indef,spec,indef,medicine,concr,concr,no_mod,0,False,True,False,False,False,False,True,True,False,False
134,135,I started keeping a diary around the 2008 .,obl,correct,correct_a,correct_art,indef,nonspec,indef,diary,abstr,abstr,no_mod,1,False,False,False,False,False,False,True,True,False,False
135,136,"Thanks to the people all over the world , I 'm having a fun time and solid time .",obl,error,omit_a,omit,indef,nonspec,indef,time,concr,concr,mod,0,False,False,False,False,False,False,True,True,False,False
136,137,"Changing the subject , I got my call from my friend yesterday .",obl,correct,correct_the,correct_art,def,spec,situational,subject,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
151,152,I 've just received a international call by my cellphone .,obl_om,error,over_a,over,indef,spec,indef,call,concr,concr,mod,0,False,True,False,False,False,False,True,True,False,False
154,155,caz I don have a school until it ! !,obl,correct,correct_a,correct_art,indef,nonspec,indef,school,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
156,157,"Although most people think about what happiness is like , most people never doubt there are happiness somewhere in human 's life .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,happiness,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
158,159,"Although most people think about what happiness is like , most people never doubt there are happiness somewhere in human 's life .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,happiness,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,False,False,True
159,160,"A famous man , I heard , said in the past that the worst things for you is to be born in the world .",obl,correct,correct_a,correct_art,indef,spec,indef,man,concr,concr,mod,1,False,False,False,False,False,False,True,False,False,True
160,161,"A famous man , I heard , said in the past that the worst things for you is to be born in the world .",obl,correct,correct_the,correct_art,def,spec,situational,past,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
161,162,"A famous man , I heard , said in the past that the worst things for you is to be born in the world .",obl,correct,correct_the,correct_art,def,spec,situational,world,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
163,164,I changed jobs a few times but the same type of job as an engineer .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,jobs,abstr,abstr,no_mod,1,False,True,False,False,False,False,False,True,False,False
166,167,I still work for an electronics maker in Japan as an engineer .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,maker,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
169,170,Commodity prices here are lower than those in Tokyo and Fukuoka Airport is very near central Fukuoka .,obl_om,correct,correct_zero,correct_om,def,spec,indef,prices,concr,concr,no_mod,1,False,True,False,False,False,True,False,False,False,True
173,174,We provided some kinds activities to get the students not only to keep enjoying the lesson but also to keep some vocabulary in mind before they know it .,obl,correct,correct_the,correct_art,def,nonspec,anaphoric,lesson,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
177,178,"After the class , I asked the students to answer a questionnaire .",obl,correct,correct_the,correct_art,def,spec,situational,class,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
178,179,"After the class , I asked the students to answer a questionnaire .",obl,correct,correct_the,correct_art,def,spec,situational,students,concr,concr,no_mod,1,True,False,False,False,False,False,False,True,False,False
179,180,"After the class , I asked the students to answer a questionnaire .",obl,correct,correct_a,correct_art,indef,nonspec,indef,questionnaire,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
180,181,I was very glad to find they liked the lesson .,obl,correct,correct_the,correct_art,def,spec,anaphoric,lesson,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
182,183,One of my ultimate goal as an English teacher is that all students look the world broadly .,obl,correct,correct_the,correct_art,def,nonspec,situational,world,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
184,185,I 'm sure you 'll have plenty of opportunities not only to communicate people from other countries but also to know several cultural differences through the lesson .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
186,187,I 'm sure you 'll have plenty of opportunities not only to communicate people from other countries but also to know several cultural differences through the lesson .,obl,correct,correct_the,correct_art,def,nonspec,situational,lesson,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
193,194,I went to the cake shop in the city my friend introduced to me as nice taste and famous .,obl,correct,correct_the,correct_art,def,spec,situational,shop,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
194,195,I went to the cake shop in the city my friend introduced to me as nice taste and famous .,obl,correct,correct_the,correct_art,def,spec,situational,city,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
196,197,The shop of inner decorating was green .,obl,correct,correct_the,correct_art,def,spec,explanatory,shop,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
197,198,"After came back home , I cooked dinner , and the dinner was prawn & avocado salad , roast chicken and OTAMA SAN GOHAN .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,dinner,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
199,200,"First , cut lettuce , cut coarsely a tomato and then stair - fly some prawns .",obl,correct,correct_a,correct_art,indef,nonspec,indef,tomato,concr,concr,no_mod,1,False,False,False,False,False,False,False,True,False,False
201,202,It only sprinkles the raw egg and a pinch of the soy source on warm rice .,obl,correct,correct_the,correct_art,def,nonspec,situational,egg,concr,concr,mod,1,True,False,False,False,False,False,True,True,False,False
202,203,"After that I watched two movie , animation of genius boy and 007 , on TV for approximately four hour .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,TV,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
203,204,I was looking for English class around here .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,class,concr,concr,mod,1,False,True,False,False,False,False,True,True,False,False
204,205,"We thought just taking a trial lesson , but she told me that I want to go to the lesson again .",obl,correct,correct_a,correct_art,indef,nonspec,indef,lesson,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
205,206,"We thought just taking a trial lesson , but she told me that I want to go to the lesson again .",obl,correct,correct_the,correct_art,def,nonspec,anaphoric,lesson,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
206,207,"Now she is very interested in speaking English , writing alphabets and sings WHAT ' S YOUR NAME ?",obl,error,omit_the,omit,indef,nonspec,indef,alphabet,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
209,210,"It is very easy to come with kids because it is clean , safe , just a 1 - hour time difference and available Haneda airport .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,kids,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
211,212,"After classes of university , I went back home directly , prepared packages and searched what time I should leave home and which trains I should take .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,classes,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
212,213,"After classes of university , I went back home directly , prepared packages and searched what time I should leave home and which trains I should take .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,packages,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
215,216,"And if the team win 8 games , the team will get first position .",obl,correct,correct_the,correct_art,def,nonspec,anaphoric,team,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
217,218,"And if the team win 8 games , the team will get first position .",obl,correct,correct_the,correct_art,def,nonspec,anaphoric,team,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
218,219,"And if the team win 8 games , the team will get first position .",obl_om,correct,correct_zero,correct_om,indef,nonspec,situational,position,abstr,abstr,mod,1,False,True,False,False,False,False,True,True,False,False
220,221,Therefore it is so difficult for it to get first position .,obl_om,correct,correct_zero,correct_om,indef,nonspec,situational,position,abstr,abstr,mod,1,False,True,False,False,False,False,True,True,False,False
221,222,"The starting pithier was not good , so that the opposition could get 3 points easily .",obl,correct,correct_the,correct_art,def,spec,situational,opposition,abstr,abstr,no_mod,1,True,False,False,False,False,False,False,False,False,True
222,223,"We cheered very hard , but the miracle was never happened .",obl,correct,correct_the,correct_art,def,spec,situational,miracle,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,False,False,True
223,224,"Those are playing sports , reading a book , lithening to music , taking a walk and so on .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,sports,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
224,225,"Those are playing sports , reading a book , lithening to music , taking a walk and so on .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,music,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
230,231,Japanese are waiting cherry blossoms in this season .,obl_om,correct,correct_zero,correct_om,indef,spec,indef,blossoms,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
234,235,I will go library and cafe to study electronics after that .,obl,error,omit_the,omit,indef,nonspec,indef,library,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
235,236,I will go library and cafe to study electronics after that .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,electronics,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
236,237,My friend starred on the play .,obl,correct,correct_the,correct_art,def,spec,anaphoric,play,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
241,242,Children were playing games very longtime .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,Children,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
242,243,Children were playing games very longtime .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,games,concr,concr,no_mod,1,False,True,False,False,False,True,False,True,False,False
246,247,I think a birds of a feather flock together .,obl_om,error,over_a,over,indef,spec,indef,birds,concr,concr,no_mod,0,False,True,False,False,False,True,False,False,False,True
248,249,The otehr day I met one of my classmate in high school at a station for the first time in fifteen years .,obl,correct,correct_a,correct_art,indef,spec,indef,station,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
251,252,"We had small talk ( short talk ? ) there , and left .",obl_om,correct,correct_zero,correct_om,indef,spec,indef,talk,concr,concr,mod,1,False,True,False,False,False,False,True,True,False,False
255,256,"We should n't sort people into level , but I believe we are living in same level ( same category , same world ) .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
258,259,I do n't like watching a close screen so I killed time reading something .,obl,correct,correct_a,correct_art,indef,nonspec,indef,screen,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
259,260,I do n't like watching a close screen so I killed time reading something .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,time,concr,concr,no_mod,1,False,True,False,False,False,False,True,True,False,False
260,261,"To say the truth , I could not understand why this book is thought a masterpiece .",obl,correct,correct_the,correct_art,def,spec,situational,truth,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
262,263,"If you had read the book , please tell me which part you think interesting .",obl,correct,correct_the,correct_art,def,spec,anaphoric,book,concr,concr,no_mod,1,True,False,False,False,False,False,True,True,False,False
264,265,I learn to speak English and find friends here .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,friends,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
267,268,so I want to exchange information about job around the world .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,information,abstr,abstr,no_mod,1,False,True,False,False,False,False,True,True,False,False
273,274,"Foreign medias admire that Japanese people are behaving calmly , organised and in a supporting .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,mod,1,False,True,False,False,False,False,False,False,False,True
278,279,Japanese have grown rice which need to help each other in the community the past .,obl,correct,correct_the,correct_art,def,nonspec,situational,past,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
279,280,Japanese have grown rice which need to help each other in the community the past .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,rice,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
280,281,Japanese have grown rice which need to help each other in the community the past .,obl,correct,correct_the,correct_art,def,nonspec,situational,community,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
281,282,"When parents scold ill - mannered children they use the same phrase `` I 'm too ashamed to face people . `` Though this phrase is not so common to young parents , this ethics is in Japanese gene .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,parents,concr,concr,no_mod,1,False,True,False,False,False,False,False,False,False,True
282,283,"When parents scold ill - mannered children they use the same phrase `` I 'm too ashamed to face people . `` Though this phrase is not so common to young parents , this ethics is in Japanese gene .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,children,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
283,284,"When parents scold ill - mannered children they use the same phrase `` I 'm too ashamed to face people . `` Though this phrase is not so common to young parents , this ethics is in Japanese gene .",obl,correct,correct_the,correct_art,def,spec,situational,phrase,concr,concr,mod,1,True,False,False,False,False,False,False,True,False,False
284,285,"When parents scold ill - mannered children they use the same phrase `` I 'm too ashamed to face people . `` Though this phrase is not so common to young parents , this ethics is in Japanese gene .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
285,286,"When parents scold ill - mannered children they use the same phrase `` I 'm too ashamed to face people . `` Though this phrase is not so common to young parents , this ethics is in Japanese gene .",obl,correct,correct_the,correct_art,indef,nonspec,indef,parents,concr,concr,mod,1,True,False,False,False,False,False,False,True,False,False
286,287,It was a job I seeked from the news paper .,obl,correct,correct_the,correct_art,def,spec,situational,paper,concr,concr,no_mod,1,True,False,False,True,False,False,True,True,False,False
287,288,Although I know a private school student like me in Singapore is sticktly prohibit to go to have a job .,obl,correct,correct_a,correct_art,indef,spec,indef,student,concr,concr,no_mod,1,False,False,False,True,False,False,True,False,False,True
288,289,Although I know a private school student like me in Singapore is sticktly prohibit to go to have a job .,obl,correct,correct_a,correct_art,indef,nonspec,indef,job,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
289,290,I am still go to the place and try my luck .,obl,correct,correct_the,correct_art,def,spec,anaphoric,place,abstr,abstr,no_mod,1,True,False,False,True,False,False,True,True,False,False
291,292,But for me I am more focus on learning the experience through working and communicating with others .,obl,correct,correct_the,correct_art,def,nonspec,situational,experience,abstr,abstr,no_mod,1,True,False,False,True,False,False,True,True,False,False
294,295,"By the way , the job is really a short - term job ( seller ) , which is only last for two weeks .",obl,correct,correct_the,correct_art,def,spec,situational,job,concr,concr,no_mod,1,True,False,False,True,False,False,True,False,False,True
297,298,Today I saw a movie - Twilight .,obl,error,omit_a,omit,indef,spec,indef,movie,concr,concr,no_mod,0,False,False,False,True,False,False,True,True,False,False
299,300,"Five days ago , Japan team played 120 minutes , including extra times , against South Korea , furthermore , the average of height of Australia team is taller than Japan .",obl,error,omit_the,omit,def,spec,explanatory,height,concr,concr,no_mod,0,True,False,False,False,False,False,False,False,False,True
300,301,So I thought most of the Japan members are tired and the game is very hard for Japan team .,obl,correct,correct_the,correct_art,def,spec,situational,game,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
301,302,The game was into extra time two times in a row from semi - final game for Japan .,obl,correct,correct_the,correct_art,def,spec,situational,game,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
306,307,"However , at 110 minute , Lee , who came off the bench , got the goal !",obl,correct,correct_the,correct_art,def,spec,situational,goal,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,True,False,False
307,308,"Today , I went to a karaoke box with my son and naighbors .",obl,error,sub_a_inst_the,error_art,indef,spec,indef,box,concr,concr,no_mod,0,True,False,False,False,False,False,True,True,False,False
309,310,I had a relaxed time .,obl,correct,correct_a,correct_art,indef,spec,indef,time,concr,concr,mod,1,False,False,False,False,False,False,True,True,False,False
310,311,Maybe I got a guitar to my father long ago .,obl,correct,correct_a,correct_art,indef,spec,indef,guitar,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
312,313,the time from bloom to falling is very early .,obl,correct,correct_the,correct_art,def,spec,situational,time,concr,concr,no_mod,1,True,False,False,False,False,False,True,False,False,True
317,318,I felt like in dream because the sea was so beautiful and a lot of fish .,obl,correct,correct_the,correct_art,def,spec,situational,sea,concr,concr,no_mod,1,True,False,False,False,False,False,False,False,False,True
319,320,I think that we shoud never happen the war .,obl,correct,correct_the,correct_art,def,spec,situational,war,abstr,abstr,no_mod,1,True,False,False,False,False,False,True,False,False,True
321,322,She is the 26 years old woman and work for travel agency .,obl,error,omit_a,omit,indef,spec,indef,agency,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
322,323,"Besides , she is pursuing model career in Japan .",obl,error,omit_a,omit,indef,spec,indef,career,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
323,324,We met night club in Tokyo .,obl,error,omit_a,omit,indef,spec,indef,club,concr,concr,no_mod,0,False,False,False,False,False,False,True,True,False,False
325,326,I can meet foreigners if I go to city in Tokyo but I wo n't be able to meet a foreigners baby .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,foreigners,concr,concr,no_mod,1,False,True,False,False,False,False,False,True,False,False
326,327,I can meet foreigners if I go to city in Tokyo but I wo n't be able to meet a foreigners baby .,obl,correct,correct_a,correct_art,indef,nonspec,indef,baby,concr,concr,no_mod,1,False,False,False,False,False,False,True,True,False,False
328,329,He 's living for 10 years in Japan so he likes to talk with Japanese people .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,mod,1,False,True,False,False,False,False,False,True,False,False
332,333,"Today , since people turn out to be more and more rational and have higher demands about the opposite sex , alone with an open mind about dating which nurtured tons of different reality dating shows .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,people,concr,concr,no_mod,1,False,True,False,True,False,False,False,False,False,True
333,334,"Today , since people turn out to be more and more rational and have higher demands about the opposite sex , alone with an open mind about dating which nurtured tons of different reality dating shows .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,demands,abstr,abstr,mod,1,False,True,False,True,False,True,False,True,False,False
334,335,"Today , since people turn out to be more and more rational and have higher demands about the opposite sex , alone with an open mind about dating which nurtured tons of different reality dating shows .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,mind,concr,concr,mod,1,False,True,False,True,False,False,True,True,False,False
336,337,This show features with `` Parents dating Guys `` .,obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,Guys,abstr,abstr,no_mod,1,False,True,False,True,False,False,False,True,False,False
337,338,"The process is like this , the girl 's parents will meet the guys first , then they will make the decision for their own daughters who is not even on the scene , by the way , about whether should give this guy a chance to go out for a date with their daughters or not .",obl,correct,correct_the,correct_art,def,spec,situational,process,abstr,abstr,no_mod,1,True,False,False,True,False,False,True,False,False,True
339,340,"The process is like this , the girl 's parents will meet the guys first , then they will make the decision for their own daughters who is not even on the scene , by the way , about whether should give this guy a chance to go out for a date with their daughters or not .",obl,correct,correct_the,correct_art,def,spec,explanatory,decision,abstr,abstr,no_mod,1,True,False,False,True,False,False,True,True,False,False
341,342,"The process is like this , the girl 's parents will meet the guys first , then they will make the decision for their own daughters who is not even on the scene , by the way , about whether should give this guy a chance to go out for a date with their daughters or not .",obl,correct,correct_a,correct_art,indef,nonspec,indef,chance,abstr,abstr,no_mod,1,False,False,False,True,False,False,True,True,False,False
342,343,"The process is like this , the girl 's parents will meet the guys first , then they will make the decision for their own daughters who is not even on the scene , by the way , about whether should give this guy a chance to go out for a date with their daughters or not .",obl,correct,correct_a,correct_art,indef,nonspec,indef,date,concr,concr,no_mod,1,False,False,False,True,False,False,True,True,False,False
345,346,"Without audiences , love judges , parents , just a friendly and private atmosphere which allows them to be theirselves and enjoy the moment .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,audiences,concr,concr,no_mod,1,False,True,False,True,False,True,False,True,False,False
346,347,"Without audiences , love judges , parents , just a friendly and private atmosphere which allows them to be theirselves and enjoy the moment .",obl_om,correct,correct_zero,correct_om,indef,nonspec,indef,judges,abstr,abstr,no_mod,1,False,True,False,True,False,True,False,True,False,False
