item_id,L1,L2,Position,HeadN,Oblig,Error,Target,ErType,ErType2,Ntype,Synt,modif
62,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog in the newspaper .,I have to make a newspaper in English as my summer vacation homework and I decided to introduce about my dog on the news paper .,24,newspaper,obl,correct,the,correct_the,correct_art,sing,other,no_mod
63,"""She is a cheerful and plump pretty dog , perhaps she is the cutest dog in the world .""","""She is cheerful and plump pretty dog , perhaps she is the cutest dog in the world .""",7,dog,obl,error,a,omit_a,over,sing,pred/prop,mod
64,"""She is a cheerful and plump pretty dog , perhaps she is the cutest dog in the world .""","""She is cheerful and plump pretty dog , perhaps she is the cutest dog in the world .""",14,dog,obl,correct,the,correct_the,correct_art,sing,other,mod
65,"""She is a cheerful and plump pretty dog , perhaps she is the cutest dog in the world .""","""She is cheerful and plump pretty dog , perhaps she is the cutest dog in the world .""",17,world,obl,correct,the,correct_the,correct_art,sing,other,no_mod
66,She 's an 8 year old golden retriever,She 's a golden retriever and she 's 8 years old .,9,year,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
67,She 's an 8 year old golden retriever,She 's a golden retriever and she 's 8 years old .,4,retriever,obl_om,error,zero,over_a,omit,sing,pred/prop,mod
68,Her fur is a beautiful amber colour and is soft .,Her fur is beautiful amber and soft .,4,amber,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
69,"""She is a little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !""","""She is little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !""",9,insights,obl_om,correct,zero,correct_zero,correct_om,plural,obj,mod
70,"""She is a little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !""","""She is little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !""",11,food,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
71,"""She is a little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !""","""She is little stupid , but has perceptive insights about food because she is always famished ^ ^ She loves food !""",21,food,obl_om,correct,zero,correct_zero,correct_om,sing,obj,no_mod
72,I saw a news article on Yahoo yesterday .,I saw a news on Yahoo yesterday .,3,news,obl_om,error,zero,over_a,omit,sing,other,no_mod
73,I saw a news article on Yahoo yesterday .,I saw a news on Yahoo yesterday .,6,yesterday,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
74,It reported that Chien - Ming Wang cut his hair and has a new hair style .,It reported that Chien - Ming Wang cut his hair and had a new hair style .,14,hair,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
75,It reported that Chien - Ming Wang cut his hair and has a new hair style .,It reported that Chien - Ming Wang cut his hair and had a new hair style .,15,style,obl,correct,a,correct_a,correct_art,sing,obj,mod
76,Here is the link :,Here is the link .,3,link,obl,correct,the,correct_the,correct_art,sing,sub,no_mod
77,It talked about there being a big difference about different values of a handsome man between Western countries and Eastern countries .,It talked about there is a big difference about different values of a handsome man between Western countries and Eastern countries .,7,difference,obl,correct,a,correct_a,correct_art,sing,sub,mod
78,It talked about there being a big difference about different values of a handsome man between Western countries and Eastern countries .,It talked about there is a big difference about different values of a handsome man between Western countries and Eastern countries .,10,values,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
79,It talked about there being a big difference about different values of a handsome man between Western countries and Eastern countries .,It talked about there is a big difference about different values of a handsome man between Western countries and Eastern countries .,14,man,obl,correct,a,correct_a,correct_art,sing,other,mod
80,It talked about there being a big difference about different values of a handsome man between Western countries and Eastern countries .,It talked about there is a big difference about different values of a handsome man between Western countries and Eastern countries .,17,countries,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
81,It talked about there being a big difference about different values of a handsome man between Western countries and Eastern countries .,It talked about there is a big difference about different values of a handsome man between Western countries and Eastern countries .,20,countries,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
82,"""It mentioned many examples of Japanese men , Korean men , and Hong Kong men .""","""It mentioned many examples of Japanese men , Korean men and Hong Kong men .""",4,examples,obl_om,correct,zero,correct_zero,correct_om,plural,obj,mod
83,"""It mentioned many examples of Japanese men , Korean men , and Hong Kong men .""","""It mentioned many examples of Japanese men , Korean men and Hong Kong men .""",7,men,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
84,"""It mentioned many examples of Japanese men , Korean men , and Hong Kong men .""","""It mentioned many examples of Japanese men , Korean men and Hong Kong men .""",14,men,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
85,They paid much attention to their faces and spent lots of money to shop .,They paid much attemtion to their faces and also spent lots of money to shop .,10,lots,obl_om,correct,zero,correct_zero,correct_om,plural,obj,no_mod
86,They paid much attention to their faces and spent lots of money to shop .,They paid much attemtion to their faces and also spent lots of money to shop .,12,money,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
87,"""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , like muscle and behavior .""","""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , say , muscle and behavior .""",4,countries,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
88,"""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , like muscle and behavior .""","""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , say , muscle and behavior .""",7,standard,obl,correct,the,correct_the,correct_art,sing,sub,no_mod
89,"""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , like muscle and behavior .""","""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , say , muscle and behavior .""",11,man,obl,correct,a,correct_a,correct_art,sing,other,mod
90,"""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , like muscle and behavior .""","""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , say , muscle and behavior .""",26,muscle,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
91,"""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , like muscle and behavior .""","""But in Western countries , the standard of a handsome man depends not on their faces , but on their masculine symbols , say , muscle and behavior .""",28,behavior,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
92,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",6,ways,obl,correct,the,correct_the,correct_art,plural,obj,no_mod
93,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",9,clothing,obl_om,correct,zero,correct_zero,correct_om,sing,other,mod
94,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",11,hair,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
95,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",12,styles,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
96,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",18,TV,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
97,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",19,programs,obl_om,correct,zero,correct_zero,correct_om,plural,obj,no_mod
98,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",23,Friends,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
99,"""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .""","""I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs and etc .""",27,etc,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
100,"""If they had a long hair , it would be really long and thick .""","""If they had a long hair , it will be really long and thick .""",6,hair,obl,correct,a,correct_a,correct_art,sing,obj,mod
101,"""By contrast , men in eastern countries dress up more .""","""By contrast , men in eastern countries most dress up .""",2,contrast,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
102,"""By contrast , men in eastern countries dress up more .""","""By contrast , men in eastern countries most dress up .""",4,men,obl_om,correct,zero,correct_zero,correct_om,plural,sub,no_mod
103,"""By contrast , men in eastern countries dress up more .""","""By contrast , men in eastern countries most dress up .""",8,countries,obl_om,correct,zero,correct_zero,correct_om,plural,other,mod
104,"""Apart from a shirt and jeans , we usually wear an accessory .""","""Except a shirt and a jean , we usually wear an accessory .""",3,shirt,obl,correct,a,correct_a,correct_art,sing,other,no_mod
105,"""Apart from a shirt and jeans , we usually wear an accessory .""","""Except a shirt and a jean , we usually wear an accessory .""",12,accessory,obl_om,correct,zero,correct_zero,correct_om,sing,obj,no_mod
106,"""As to hair , men usually have medium hair , neither very short or long .""","""As to hair , men usually have a median hair , neither very short or long .""",3,hair,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
107,"""As to hair , men usually have medium hair , neither very short or long .""","""As to hair , men usually have a median hair , neither very short or long .""",5,men,obl_om,correct,zero,correct_zero,correct_om,plural,sub,no_mod
108,"""As to hair , men usually have medium hair , neither very short or long .""","""As to hair , men usually have a median hair , neither very short or long .""",10,hair,obl_om,error,zero,over_a,omit,sing,obj,mod
109,"""If we want to cut our hair short , we must leave some hair on the back of neck in order to avoid looking like a nerd .""","""If we want to cut a very short hair , we must leave some hair on the back of neck in order to avoid looking like a nerd .""",15,hair,obl_om,correct,zero,correct_zero,correct_om,sing,obj,no_mod
110,"""If we want to cut our hair short , we must leave some hair on the back of neck in order to avoid looking like a nerd .""","""If we want to cut a very short hair , we must leave some hair on the back of neck in order to avoid looking like a nerd .""",18,back,obl,correct,the,correct_the,correct_art,sing,other,no_mod
111,"""If we want to cut our hair short , we must leave some hair on the back of neck in order to avoid looking like a nerd .""","""If we want to cut a very short hair , we must leave some hair on the back of neck in order to avoid looking like a nerd .""",20,neck,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
112,"""If we want to cut our hair short , we must leave some hair on the back of neck in order to avoid looking like a nerd .""","""If we want to cut a very short hair , we must leave some hair on the back of neck in order to avoid looking like a nerd .""",22,order,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
113,"""If we want to cut our hair short , we must leave some hair on the back of neck in order to avoid looking like a nerd .""","""If we want to cut a very short hair , we must leave some hair on the back of neck in order to avoid looking like a nerd .""",28,nerd,obl,correct,a,correct_a,correct_art,sing,other,no_mod
114,It almost cost me a whole morning .,It almost cost a whole morning .,5,morning,obl,correct,a,correct_a,correct_art,sing,other,mod
115,My son has diarrhea,My son have diarrhea,3,diarrhea,obl_om,correct,zero,correct_zero,correct_om,sing,obj,no_mod
116,"""When I came back home from work today , my son had diarrhea .""",When I came back home from working today .,7,work,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
117,But there 's no way we can go .,But a no way .,3,way,obl_om,error,zero,over_a,omit,sing,sub,no_mod
118,I am listening to music on the commuter train .,I am listening to music with the commuter train .,4,music,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
119,I am listening to music on the commuter train .,I am listening to music with the commuter train .,7,commuter,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
120,I am listening to music on the commuter train .,I am listening to music with the commuter train .,8,train,obl,correct,the,correct_the,correct_art,sing,other,no_mod
121,"""Today , I listen the music , it feels like I am in a cafe .""","""Today , I listen the music , it looks like in the cafe .""",1,Today,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
122,"""Today , I listen the music , it feels like I am in a cafe .""","""Today , I listen the music , it looks like in the cafe .""",6,music,obl,correct,the,correct_the,correct_art,sing,obj,no_mod
123,"""Today , I listen the music , it feels like I am in a cafe .""","""Today , I listen the music , it looks like in the cafe .""",13,cafe,obl,error,a,sub_the_inst_a,error_art,sing,other,no_mod
124,I like the warm season .,I like warm season .,3,season,obl,error,the,omit_the,over,sing,obj,mod
125,Spring is a very exciting season .,Spring is very exciting season .,0,Spring,obl_om,correct,zero,correct_zero,correct_om,sing,sub,no_mod
126,Spring is a very exciting season .,Spring is very exciting season .,4,season,obl,error,a,omit_a,over,sing,pred/prop,mod
127,"""In Japan , the new school and work year starts in spring .""","""Japanese school , work starts spring .""",2,school,obl,error,the,omit_the,over,sing,sub,mod
128,"""In Japan , the new school and work year starts in spring .""","""Japanese school , work starts spring .""",6,spring,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
129,"""Starting today , I 'm going to try write a diary everyday ! !""","""Since today , I 'm going to try write a diary ! !""",2,today,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
130,"""Starting today , I 'm going to try write a diary everyday ! !""","""Since today , I 'm going to try write a diary ! !""",11,diary,obl,error,a,omit_a,over,sing,obj,no_mod
131,Today has nothing specal to write ! !,Today is nothing specal to write ! !,0,Today,obl_om,correct,zero,correct_zero,correct_om,sing,sub,no_mod
132,It 's a kind of Tai - wan style massage .,It 's kind of Tai - wan stayle massage .,2,kind,obl,error,a,omit_a,over,sing,pred/prop,no_mod
133,It 's a kind of Tai - wan style massage .,It 's kind of Tai - wan stayle massage .,6,wan,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
134,It 's a kind of Tai - wan style massage .,It 's kind of Tai - wan stayle massage .,8,massage,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
135,I loved the massage shop where I went because the staff of the shop explained what is wrong in my body .,I loved the massage shop where I went because the staff of the shop explains what is wrong in my body .,3,massage,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
136,I loved the massage shop where I went because the staff of the shop explained what is wrong in my body .,I loved the massage shop where I went because the staff of the shop explains what is wrong in my body .,4,shop,obl,correct,the,correct_the,correct_art,sing,obj,no_mod
137,I loved the massage shop where I went because the staff of the shop explained what is wrong in my body .,I loved the massage shop where I went because the staff of the shop explains what is wrong in my body .,10,staff,obl,correct,the,correct_the,correct_art,sing,sub,no_mod
138,I loved the massage shop where I went because the staff of the shop explained what is wrong in my body .,I loved the massage shop where I went because the staff of the shop explains what is wrong in my body .,13,shop,obl,correct,the,correct_the,correct_art,sing,other,no_mod
139,"""After that , I went to a fitness club which has bedrock bathing .""","""After that , I went to a fittness club which has bedrock bathing .""",9,club,obl,correct,a,correct_a,correct_art,sing,other,no_mod
140,"""After that , I went to a fitness club which has bedrock bathing .""","""After that , I went to a fittness club which has bedrock bathing .""",13,bathing,obl_om,correct,zero,correct_zero,correct_om,sing,obj,mod
141,I felt relaxed to take a bedrock bath ^ ^,I feel relax to take a bedrock bath ^ ^,6,bedrock,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
142,I felt relaxed to take a bedrock bath ^ ^,I feel relax to take a bedrock bath ^ ^,7,bath,obl,correct,a,correct_a,correct_art,sing,obj,no_mod
143,I went to Sendai as a business trip today .,I 'm went to Sendai to business trip today .,6,business,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
144,I went to Sendai as a business trip today .,I 'm went to Sendai to business trip today .,7,trip,obl,error,a,omit_a,over,sing,other,no_mod
145,I went to Sendai as a business trip today .,I 'm went to Sendai to business trip today .,8,today,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
146,The special product of Sendai is a cow 's tongue .,The special product in Sendai is a cow tongue .,2,product,obl,correct,the,correct_the,correct_art,sing,sub,mod
147,The special product of Sendai is a cow 's tongue .,The special product in Sendai is a cow tongue .,7,cow,obl,error,a,omit_a,over,sing,gen,no_mod
148,I bought it and ate it at home .,I bought it and ate at home .,6,home,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
149,The wife was woken up by my stertor / snoring .,The wife was woken up by my stertor .,1,wife,obl,correct,the,correct_the,correct_art,sing,sub,no_mod
150,"""Because when I 've finished my classes , homework or jobs etc . . .""","""Because when I finished my classes , homeworks or jobs etc . . .""",9,homework,obl_om,correct,zero,correct_zero,correct_om,sing,other,no_mod
151,"""Because when I 've finished my classes , homework or jobs etc . . .""","""Because when I finished my classes , homeworks or jobs etc . . .""",11,jobs,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
152,"""Because when I 've finished my classes , homework or jobs etc . . .""","""Because when I finished my classes , homeworks or jobs etc . . .""",12,etc,obl_om,correct,zero,correct_zero,correct_om,plural,other,no_mod
